plastic_bottles_recycled,aluminum_cans_recycled,paper_recycled_kg,cardboard_recycled_kg,glass_bottles_recycled,reusable_bags_used,reusable_water_bottle_uses,miles_biked,miles_walked,miles_public_transit,miles_carpooled,vegetarian_meals,vegan_meals,local_food_kg,led_bulb_hours,cold_water_laundry_loads,line_dried_loads,composting_kg,co2_saved_kg
6,3,2.85,1.46,0,4,1,1.87,0.29,17.32,9.02,3,2,0.06,23.28,1,1,0.0,30.81
3,4,1.85,1.22,0,3,0,3.49,3.06,2.79,4.38,3,2,1.37,18.84,2,2,2.95,31.41
0,2,2.58,1.36,0,1,3,11.31,2.82,7.71,0.24,1,2,2.05,14.64,2,2,2.73,30.12
3,1,1.99,0.62,1,1,3,2.22,4.85,15.5,14.09,1,1,2.18,7.84,1,2,1.56,25.93
5,4,1.17,0.54,0,1,0,3.37,2.71,2.82,12.03,0,0,2.96,18.53,2,2,0.6,16.39
7,2,2.37,1.21,1,1,0,10.98,4.25,8.99,1.43,2,2,2.01,15.98,1,2,1.68,32.44
2,4,2.92,1.7,0,1,5,5.93,2.61,8.55,0.38,0,2,0.09,15.27,0,1,0.42,21.16
6,4,1.62,0.41,0,2,2,1.93,4.65,16.16,9.5,1,1,2.65,7.78,2,0,0.95,21.1
0,0,0.68,0.85,3,4,0,3.66,0.82,10.68,7.27,0,2,0.81,5.86,2,1,0.66,19.78
7,0,1.21,0.13,1,3,3,3.02,2.49,6.02,4.27,0,2,1.83,12.06,1,2,0.84,20.78
0,0,0.72,0.29,3,1,5,2.9,3.36,15.23,3.56,2,1,1.1,15.18,1,1,1.61,22.36
7,0,0.45,1.02,3,4,2,7.09,3.39,0.33,7.68,2,2,0.52,16.58,2,1,2.51,26.7
2,3,2.21,0.42,2,1,2,2.74,0.87,19.64,7.75,0,1,2.99,23.17,0,0,2.65,18.02
6,0,0.84,1.4,3,2,3,10.65,3.9,12.84,1.26,3,1,2.01,13.94,1,0,1.99,26.51
4,1,0.48,1.1,1,2,4,2.69,3.56,4.74,4.88,3,2,2.16,7.39,2,2,1.91,29.71
5,4,1.46,1.81,2,1,4,6.03,2.88,9.85,2.93,0,2,1.72,18.45,0,1,2.86,23.1
4,2,2.24,1.91,0,0,5,11.6,4.82,17.06,4.42,0,2,0.81,11.65,1,0,1.18,25.7
5,1,2.79,0.14,1,1,2,3.54,1.61,16.97,2.05,1,2,0.88,19.42,2,1,2.6,26.36
4,3,1.53,1.0,0,3,0,0.85,1.98,1.02,13.3,2,1,0.28,13.88,1,2,1.4,22.62
6,4,2.52,1.72,0,3,1,9.87,1.8,2.54,7.83,0,0,1.37,20.21,1,2,2.1,19.71
7,3,0.4,1.94,1,2,0,4.79,2.17,14.88,3.76,1,0,0.24,10.28,0,0,0.52,13.82
0,1,0.72,0.19,0,4,4,7.66,2.58,13.14,6.54,0,2,0.14,13.58,2,0,0.36,19.97
4,3,0.14,0.08,1,3,4,5.69,0.49,9.83,7.1,0,1,1.3,9.56,1,1,1.91,16.46
1,3,1.12,1.25,1,0,4,8.21,3.08,18.88,14.16,3,2,2.4,16.25,2,0,1.37,33.57
2,2,2.82,0.77,0,1,2,2.35,0.35,2.02,0.27,2,1,2.05,1.71,0,1,2.04,17.8
5,1,0.78,0.99,1,4,1,7.55,4.39,14.7,12.05,0,1,1.27,13.64,2,0,2.19,20.81
3,1,0.75,1.16,2,4,3,5.15,3.75,15.09,1.55,0,0,1.52,19.83,1,0,2.69,13.93
0,3,0.03,1.81,3,0,3,11.4,4.75,11.47,9.48,0,0,0.88,7.89,2,0,2.26,17.55
6,0,0.34,1.86,1,1,4,8.84,2.73,14.12,14.53,0,1,2.51,20.8,1,2,1.28,25.14
7,1,1.19,1.78,1,4,4,1.02,4.93,7.49,5.56,3,0,2.84,23.66,1,2,1.45,24.64
3,2,0.75,0.66,1,2,4,0.14,2.34,1.13,1.78,0,2,1.95,17.91,0,1,1.2,15.08
3,0,0.25,1.06,0,1,3,11.73,2.78,6.45,0.65,0,2,2.76,6.07,2,0,1.57,19.7
0,0,2.09,0.91,0,2,0,10.98,4.79,1.16,5.92,3,0,0.83,4.51,1,1,0.69,22.05
3,3,1.08,0.52,2,0,0,3.71,4.07,13.69,2.44,1,2,2.47,22.8,0,2,2.76,26.6
1,1,1.65,0.33,3,0,5,9.73,4.94,3.01,8.91,2,0,2.91,20.21,0,0,1.41,18.67
2,0,0.04,0.15,3,0,4,12.0,4.98,11.11,11.53,0,1,2.55,5.94,1,0,0.39,18.65
2,4,1.82,0.46,0,1,3,3.22,0.11,9.96,7.14,2,2,0.92,19.59,0,1,2.63,25.16
0,0,0.4,0.06,2,4,4,7.67,4.03,18.06,9.26,1,1,1.82,15.28,2,2,0.27,26.1
1,3,1.64,0.9,2,3,5,7.47,4.31,18.99,2.21,3,0,1.48,6.2,0,1,1.86,25.01
1,4,0.63,1.16,2,2,0,5.52,2.92,8.01,10.47,3,0,2.69,11.38,0,1,1.81,21.99
2,2,2.47,0.69,1,4,5,1.06,0.6,9.22,3.1,1,0,1.51,16.57,0,1,2.4,14.68
0,2,2.76,0.12,1,3,0,1.01,2.99,19.73,8.05,3,1,0.71,18.24,1,1,2.24,27.79
5,2,0.76,1.43,2,2,3,1.29,2.24,10.65,3.64,0,2,1.13,0.48,0,0,0.63,15.6
1,3,0.7,0.69,0,3,1,9.47,2.49,1.74,8.06,1,2,2.24,10.36,2,1,0.85,23.89
5,3,1.94,1.14,3,2,4,3.96,4.67,0.15,3.38,1,2,1.46,20.42,1,1,2.42,23.77
7,0,0.24,1.05,3,4,3,11.97,4.48,11.52,13.76,2,1,2.93,11.78,1,2,2.46,31.31
1,2,1.71,0.56,3,4,5,11.62,3.55,3.99,11.04,3,2,2.12,18.43,1,0,1.52,30.33
6,3,0.96,1.19,1,1,1,6.58,2.74,4.03,10.27,3,0,0.42,0.07,0,2,1.42,22.89
5,2,1.05,1.86,1,3,3,4.9,4.66,19.82,3.08,2,2,2.78,17.32,0,2,2.39,32.35
5,3,0.49,0.33,0,2,2,7.61,4.54,6.32,8.82,1,2,2.14,21.59,0,1,1.62,24.27
6,0,0.7,1.8,2,1,5,0.8,1.15,10.86,6.47,2,2,2.19,16.65,2,2,1.86,28.64
3,2,2.37,0.3,0,4,4,9.34,0.72,4.09,10.71,0,2,2.26,2.47,0,2,1.14,23.54
4,3,1.19,1.59,0,4,3,8.67,3.6,12.82,10.41,3,1,0.76,8.3,2,1,2.73,30.94
5,1,2.84,0.31,0,1,0,3.07,3.63,11.86,1.53,3,0,2.77,16.97,1,0,1.73,20.08
1,0,1.27,1.47,3,0,5,10.93,0.61,4.72,2.48,3,1,2.51,7.97,1,2,0.68,27.35
6,4,1.14,1.49,1,3,0,0.06,1.67,7.96,8.06,2,1,1.04,8.33,1,2,1.36,23.23
2,2,1.36,0.28,3,0,3,5.03,4.57,7.25,8.71,1,1,0.04,15.92,2,0,2.88,20.18
